ID,Living,CellPhone,CellMinutes,CreditCard,Balance,GPA,WorkHrs,IdealChild,ParentsChild,CarAge,JobMkt,Politics,Religious,LanguageSkill,Newspaper,Textbook,UsedElectronic?,PreferElecronic,PCAccess,OpSystem,Linux,iPod
69,Parents,Cingular,long ,Visa,Moderate,3.4,long,three,three,Very Old,Very good,somewhat conservative,Not religious,Fluent,Never,Campus store,NO,Somehwhat agree,Never,Windows,What's Linux?,iPod only
70,Parents,Verizon,long ,Mastercard,High ,3.35,long,two,one,Very new,Bad,somewhat liberal,somewhat religious,None,Occasionally,Other student,NO,Neither,Never,Windows,No,Neither
71,Parents,Cingular,short,Visa,Very high ,3.09,moderate,two,one,New,Good,liberal,religious,None,Occasionally,Other retail,NO,Strongly Agree,Never,Windows,No,iPod only
72,Share Apt,Verizon,short,Mastercard,None,3.2,long,three,two,Old,Good,conservative,somewhat religious,Slight,Regularly,On-line,NO,Somewhat agree,Never,Windows,No,MP3 only
73,Dorm,Cingular,long ,Visa,High ,2.85,none,two,two,Very new,Good,neither,Not religious,Fluent,Occasionally,Other retail,YES,Somehwhat agree,Often,Windows,What's Linux?,iPod only
74,Dorm,Verizon,very long,Visa,Moderate,3.4,none,two,two,Fairly new,Somewhat good,conservative,somewhat religious,Moderate,Occasionally,Campus store,NO,Strongly Agree,Always,Windows,What's Linux?,iPod only
75,Dorm,Cingular,short,Visa,High ,2.76,none,three,four,Old,Good,neither,somewhat religious,Slight,Occasionally,Other retail,YES,Strongly Agree,Always,Windows,What's Linux?,iPod only
76,Dorm,T-Mobile,short,Visa,Moderate,3.95,none,two,two,Old,Good,somewhat conservative,very religious,Fluent,Occasionally,Campus store,NO,Disagree,Always,Windows,What's Linux?,iPod only
77,Dorm,Verizon,very long,Visa,Very high ,2.8,none,three,three,Very new,Somewhat good,neither,somewhat religious,Slight,Occasionally,Campus store,NO,Somehwhat agree,Always,Mac,No,iPod only
78,Share Apt,Cingular,average,Mastercard,Low,3.15,none,two,three,Very Old,Good,neither,somewhat religious,Moderate,Occasionally,Campus store,NO,Agree,Always,Windows,No,iPod only
