ID,Living,CellPhone,CellMinutes,CreditCard,Balance,GPA,WorkHrs,IdealChild,ParentsChild,CarAge,JobMkt,Politics,Religious,LanguageSkill,Newspaper,Textbook,UsedElectronic?,PreferElecronic?,PCAccess,OpSystem,Linux?,iPod?
60,Dorm,Nextel,100,None,0,3.67,30,3,4,11,6.47,4.03,25,Slight,Never,On-line,0,3.7,Always,Windows,What's Linux?,Neither
61,Parents,T-Mobile,664,Visa,549,2.9,30,1,1,11,6,5.47,0,None,Regularly,Campus store,0,2,Always,Mac,Yes,MP3 only
62,Parents,Sprint,800,Discover,1200,3,30,3,4,0.2,6.1,4,0,Slight,Occasionally,Campus store,0,3.03,Often,Windows,No,iPod only
63,Share Apt,Verizon,340,Visa,146,3.3,0,2,2,2,4.83,6.27,0,Moderate,Occasionally,Campus store,0,3.07,Always,Windows,No,iPod only
64,Solo Apt,Verizon,1842,Amex,2856.25,2.74,40,2,4,3,6.4,3.53,1,Slight,Never,Other retail,0,2.83,Always,Windows,No,iPod only
65,Solo Apt,Verizon,250,Visa,684.44,3.4,0,3,1,2.5,7,3,10,Slight,Occasionally,Campus store,1,7,Always,Windows,No,iPod only
66,Parents,Virgin,100,Visa,0,3,0,3,3,2,6,3,20,None,Occasionally,Campus store,0,2,Never,Windows,No,Neither
67,Parents,Nextel,220,Visa,951,3.67,0,2,4,2,5.93,1.47,4,Moderate,Occasionally,On-line,0,2.23,Never,Windows,What's Linux?,Neither
68,Share Apt,Verizon,1000,Visa,600,3.8,30,3,3,7,3.13,2.63,50,Moderate,Occasionally,Other retail,1,6,Always,Windows,What's Linux?,Neither
69,Parents,Cingular,500,Visa,150,3.4,25,3,3,11,7,3,1,Fluent,Never,Campus store,0,3,Never,Windows,What's Linux?,iPod only
70,Parents,Verizon,500,Mastercard,253,3.35,25,2,1,1,2.47,4.87,2,None,Occasionally,Other student,0,4.23,Never,Windows,No,Neither
71,Parents,Cingular,200,Visa,2000,3.09,15,2,1,3.5,5.6,5.5,5,None,Occasionally,Other retail,0,6.77,Never,Windows,No,iPod only
72,Share Apt,Verizon,100,Mastercard,0,3.2,35,3,2,8,5.5,2.47,2,Slight,Regularly,On-line,0,5,Never,Windows,No,MP3 only
73,Dorm,Cingular,500,Visa,400,2.85,0,2,2,0,5.63,4.43,0,Fluent,Occasionally,Other retail,1,2.8,Often,Windows,What's Linux?,iPod only
